time,vehicle_id,x,y,speed
41.00,flow0.8,-2780.64,3911.61,2.82
42.00,flow0.6,-2708.57,3911.61,10.48
42.00,flow0.7,-2753.35,3911.61,6.80
42.00,flow0.8,-2777.28,3911.61,3.36
42.00,flow0.9,-2787.49,3911.61,0.00
43.00,flow0.6,-2697.27,3911.61,11.31
43.00,flow0.7,-2745.88,3911.61,7.47
43.00,flow0.8,-2773.13,3911.61,4.15
43.00,flow0.9,-2786.78,3911.61,0.71
44.00,flow0.6,-2685.10,3911.61,12.17
44.00,flow0.7,-2737.60,3911.61,8.28
44.00,flow0.8,-2768.32,3911.61,4.81
44.00,flow0.9,-2785.38,3911.61,1.41
45.00,flow0.7,-2728.37,3911.61,9.23
45.00,flow0.8,-2762.94,3911.61,5.38
45.00,flow0.9,-2783.29,3911.61,2.09
46.00,flow0.7,-2718.55,3911.61,9.82
46.00,flow0.8,-2757.03,3911.61,5.91
46.00,flow0.9,-2780.47,3911.61,2.81
47.00,flow0.10,-2787.49,3911.61,0.00
47.00,flow0.7,-2707.74,3911.61,10.81
47.00,flow0.8,-2750.61,3911.61,6.42
47.00,flow0.9,-2777.10,3911.61,3.37
48.00,flow0.10,-2786.66,3911.61,0.83
48.00,flow0.7,-2696.17,3911.61,11.57
48.00,flow0.8,-2743.65,3911.61,6.97
48.00,flow0.9,-2772.82,3911.61,4.29
49.00,flow0.10,-2784.84,3911.61,1.83
49.00,flow0.7,-2684.26,3911.61,11.91
49.00,flow0.8,-2735.92,3911.61,7.73
49.00,flow0.9,-2767.70,3911.61,5.12
50.00,flow0.10,-2782.25,3911.61,2.58
50.00,flow0.8,-2727.64,3911.61,8.27
50.00,flow0.9,-2761.59,3911.61,6.11
51.00,flow0.10,-2778.73,3911.61,3.53
51.00,flow0.11,-2787.49,3911.61,0.00
51.00,flow0.8,-2718.83,3911.61,8.82
51.00,flow0.9,-2754.68,3911.61,6.91
52.00,flow0.10,-2774.40,3911.61,4.33
52.00,flow0.11,-2786.99,3911.61,0.50
52.00,flow0.8,-2709.44,3911.61,9.39
52.00,flow0.9,-2747.19,3911.61,7.50
53.00,flow0.10,-2769.46,3911.61,4.94
53.00,flow0.11,-2785.72,3911.61,1.27
53.00,flow0.8,-2699.29,3911.61,10.15
53.00,flow0.9,-2739.16,3911.61,8.03
54.00,flow0.10,-2763.63,3911.61,5.83
54.00,flow0.11,-2783.52,3911.61,2.19
54.00,flow0.8,-2688.56,3911.61,10.73
54.00,flow0.9,-2730.30,3911.61,8.86
55.00,flow0.10,-2757.15,3911.61,6.47
55.00,flow0.11,-2780.55,3911.61,2.97
55.00,flow0.9,-2720.60,3911.61,9.70
56.00,flow0.10,-2750.08,3911.61,7.07
56.00,flow0.11,-2776.66,3911.61,3.89
56.00,flow0.12,-2787.49,3911.61,0.00
56.00,flow0.9,-2710.08,3911.61,10.52
57.00,flow0.10,-2742.08,3911.61,8.01
57.00,flow0.11,-2772.16,3911.61,4.50
57.00,flow0.12,-2786.55,3911.61,0.94
57.00,flow0.9,-2698.86,3911.61,11.23
58.00,flow0.10,-2733.18,3911.61,8.89
58.00,flow0.11,-2766.78,3911.61,5.38
58.00,flow0.12,-2784.70,3911.61,1.84
58.00,flow0.9,-2687.00,3911.61,11.85
59.00,flow0.10,-2723.45,3911.61,9.73
59.00,flow0.11,-2760.52,3911.61,6.26
59.00,flow0.12,-2782.28,3911.61,2.42
60.00,flow0.10,-2712.95,3911.61,10.50
60.00,flow0.11,-2753.36,3911.61,7.16
60.00,flow0.12,-2778.98,3911.61,3.30
60.00,flow0.13,-2787.49,3911.61,0.00
61.00,flow0.10,-2701.92,3911.61,11.03
61.00,flow0.11,-2745.30,3911.61,8.05
61.00,flow0.12,-2775.14,3911.61,3.84
61.00,flow0.13,-2786.77,3911.61,0.72
62.00,flow0.10,-2690.29,3911.61,11.63
62.00,flow0.11,-2736.45,3911.61,8.85
62.00,flow0.12,-2770.34,3911.61,4.80
62.00,flow0.13,-2785.34,3911.61,1.43
63.00,flow0.11,-2726.98,3911.61,9.48
63.00,flow0.12,-2764.91,3911.61,5.43
63.00,flow0.13,-2783.25,3911.61,2.10
